DATE,OPEN,HIGH,LOW,CLOSE,VOL,Return_%,True_Range,Avg_Daily_Vol,Trading_Days
1997-06-27,89.41,90.25,87.34,88.91,18800000.0,-0.56,2.91,3760000.0,5
1997-07-04,88.91,92.16,87.88,92.06,8600000.0,3.54,4.28,2150000.0,4
1997-07-11,92.38,92.5,90.03,91.78,14400000.0,-0.65,2.47,2880000.0,5
1997-07-18,91.89,94.09,91.06,91.3,14600000.0,-0.64,3.03,2920000.0,5
1997-07-25,91.28,94.81,90.69,94.03,17800000.0,3.01,4.12,3560000.0,5
1997-08-01,94.25,96.03,93.42,94.94,19500000.0,0.73,2.61,3900000.0,5
1997-08-08,94.78,96.63,92.41,93.38,17000000.0,-1.48,4.22,3400000.0,5
1997-08-15,93.75,94.55,89.63,89.78,27900000.0,-4.23,4.92,5580000.0,5
1997-08-22,90.38,94.31,89.34,92.56,26500000.0,2.41,4.97,5300000.0,5
1997-08-29,92.78,93.41,89.72,90.38,20700000.0,-2.59,3.69,4140000.0,5
1997-09-05,90.69,94.44,90.59,93.14,16300000.0,2.7,3.85,4075000.0,4
1997-09-12,93.72,94.28,90.25,92.66,20104000.0,-1.13,4.03,4020800.0,5
1997-09-19,92.66,96.38,92.19,95.03,17900000.0,2.56,4.19,3580000.0,5
1997-09-26,95.5,96.2,93.63,94.47,18300000.0,-1.08,2.57,3660000.0,5
1997-10-03,94.5,97.75,94.16,96.64,18900000.0,2.26,3.59,3780000.0,5
1997-10-10,97.31,98.5,96.22,96.88,15000000.0,-0.44,2.28,3000000.0,5
1997-10-17,97.34,97.55,93.0,94.28,24300000.0,-3.14,4.55,4860000.0,5
1997-10-24,94.84,97.5,93.67,94.0,28200000.0,-0.89,3.83,5640000.0,5
1997-10-31,93.02,93.94,84.38,92.06,57300000.0,-1.03,9.56,11460000.0,5
1997-11-07,93.19,95.28,91.44,92.94,28100000.0,-0.27,3.84,5620000.0,5
1997-11-14,93.63,93.84,90.09,93.06,28700000.0,-0.61,3.75,5740000.0,5
1997-11-21,94.38,96.81,92.75,96.75,23100000.0,2.51,4.06,4620000.0,5
1997-11-28,96.0,96.34,94.63,95.63,13100000.0,-0.39,1.71,3275000.0,4
1997-12-05,96.22,99.0,96.03,98.94,16600000.0,2.83,2.97,3320000.0,5
1997-12-12,98.97,99.0,94.91,95.75,17200000.0,-3.25,4.09,3440000.0,5
1997-12-19,96.25,97.88,92.38,94.78,23100000.0,-1.53,5.5,4620000.0,5
1997-12-26,95.44,95.91,93.25,93.78,12442000.0,-1.74,2.66,3110500.0,4
1998-01-02,94.59,97.66,94.44,97.56,12500000.0,3.14,3.22,3125000.0,4
1998-01-09,97.84,98.44,91.91,92.31,25900000.0,-5.65,6.53,5180000.0,5
1998-01-16,91.13,96.69,90.91,96.31,28400000.0,5.68,5.78,5680000.0,5
1998-01-23,96.69,98.02,95.0,95.94,20700000.0,-0.78,3.02,5175000.0,4
1998-01-30,96.38,99.56,95.41,98.31,27300000.0,2.0,4.15,5460000.0,5
1998-02-06,99.91,101.63,99.72,101.63,22800000.0,1.72,1.91,4560000.0,5
1998-02-13,101.72,102.94,100.72,102.0,17200000.0,0.28,2.22,3440000.0,5
1998-02-20,102.81,103.72,102.16,103.66,13200000.0,0.83,1.56,3300000.0,4
1998-02-27,104.25,105.53,102.94,105.13,16700000.0,0.84,2.59,3340000.0,5
1998-03-06,105.25,105.94,103.16,105.94,26200000.0,0.66,2.78,5240000.0,5
1998-03-13,105.53,108.0,105.25,107.09,18400000.0,1.48,2.75,3680000.0,5
1998-03-20,107.84,110.19,107.53,109.88,15400000.0,1.89,2.66,3080000.0,5
1998-03-27,109.72,111.53,109.0,109.63,18300000.0,-0.08,2.53,3660000.0,5
1998-04-03,109.63,112.81,108.97,112.59,19600000.0,2.7,3.84,3920000.0,5
