DATE,OPEN,HIGH,LOW,CLOSE,VOL,Return_%,True_Range,Avg_Daily_Vol,Trading_Days
2010-03-31,111.2,118.17,111.17,117.0,3899800000.0,5.22,7.0,169556522.0,23
2010-04-30,117.8,122.12,117.1,118.81,3887100000.0,0.86,5.02,185100000.0,21
2010-05-31,119.38,120.68,104.38,109.37,7413900000.0,-8.38,16.3,370695000.0,20
2010-06-30,108.35,113.2,102.88,103.22,5705900000.0,-4.73,10.32,259359091.0,22
2010-07-31,103.15,112.29,101.13,110.27,4725300000.0,6.9,11.16,225014286.0,21
2010-08-31,111.99,113.18,104.29,105.31,4541800000.0,-5.96,8.89,206445455.0,22
2010-09-30,106.73,115.79,106.66,114.13,4035700000.0,6.93,9.13,192176190.0,21
2010-10-31,114.99,119.76,113.18,118.49,3767500000.0,3.04,6.58,179404762.0,21
2010-11-30,119.07,122.95,117.59,118.49,3983600000.0,-0.49,5.36,189695238.0,21
2010-12-31,120.2,126.2,120.19,125.75,2722700000.0,4.62,6.01,123759091.0,22
2011-01-31,126.71,130.35,125.7,128.68,2860200000.0,1.55,4.65,143010000.0,20
2011-02-28,129.46,134.69,129.38,133.15,2820000000.0,2.85,5.31,148421053.0,19
2011-03-31,133.57,133.69,125.28,132.59,4787400000.0,-0.73,8.41,208147826.0,23
2011-04-30,133.41,136.57,129.51,136.43,2812800000.0,2.26,7.06,140640000.0,20
2011-05-31,137.07,137.18,131.38,134.9,3337700000.0,-1.58,5.8,158938095.0,21
2011-06-30,134.51,134.92,126.19,131.97,4710700000.0,-1.89,8.73,214122727.0,22
2011-07-31,132.09,135.7,127.97,129.33,3840700000.0,-2.09,7.73,192035000.0,20
2011-08-31,130.84,130.96,110.27,122.22,9050500000.0,-6.59,20.69,393500000.0,23
2011-09-30,122.29,123.4,111.3,113.15,6188300000.0,-7.47,12.1,294680952.0,21
2011-10-31,112.49,129.42,107.43,125.5,5721100000.0,11.57,21.99,272433333.0,21
2011-11-30,122.03,128.02,116.2,124.99,5013600000.0,2.43,11.82,238742857.0,21
2011-12-31,124.85,127.26,120.03,125.5,3848700000.0,0.52,7.23,183271429.0,21
2012-01-31,127.76,133.4,126.43,131.32,2883800000.0,2.79,6.97,144190000.0,20
2012-02-29,132.29,138.19,132.13,137.02,2894500000.0,3.58,6.06,144725000.0,20
2012-03-31,137.31,141.83,134.36,140.81,3057600000.0,2.55,7.47,138981818.0,22
2012-04-30,140.64,142.21,135.76,139.87,3035600000.0,-0.55,6.45,151780000.0,20
2012-05-31,139.79,141.66,129.55,131.47,4004400000.0,-5.95,12.11,182018182.0,22
2012-06-30,129.41,136.27,127.14,136.1,3644800000.0,5.17,9.13,173561905.0,21
2012-07-31,136.48,139.34,132.6,137.71,2864700000.0,0.9,6.74,136414286.0,21
2012-08-31,138.7,143.09,135.58,141.16,2413700000.0,1.77,7.51,104943478.0,23
2012-09-30,141.04,148.11,140.13,143.97,2391300000.0,2.08,7.98,125857895.0,19
2012-10-31,144.52,147.16,140.39,141.35,2719800000.0,-2.19,6.77,129514286.0,21
2012-11-30,141.65,143.72,134.7,142.15,3032800000.0,0.35,9.02,144419048.0,21
2012-12-31,142.8,145.58,139.54,142.41,2889800000.0,-0.27,6.04,144490000.0,20
2013-01-31,145.11,150.94,144.73,149.7,2587100000.0,3.16,6.21,123195238.0,21
2013-02-28,150.65,153.28,148.73,151.61,2581600000.0,0.64,4.55,135873684.0,19
